,St-Jean-de-Vedas,Sete,Agde Pezenas,Peage de Beziers-Cabrials,Beziers ouest,Narbonne est ,Narbonne sud,Sigean ,Leucate,Perpignan nord,Perpignan sud,Le Boulou  (peage sys ferme),Peage du Perthus,Lezignan,Carcassonne est,Carcassonne ouest,Bram,Castelnaudary,Villefranche-de-Lauragais,Nailloux,Mazeres-Saverdun,Peage de pamiers,Montgiscard,Peage de Toulouse sud/ouest,Peage de Toulouse sud/est
St-Jean-de-Vedas,0.0,17.0,41.0,53.0,59.0,81.0,85.0,101.0,112.0,134.0,149.0,164.0,164.0,115.0,137.0,147.0,191.0,179.0,218.0,209.0,230.0,240.0,211.0,223.0,223.0
Sete,17.0,0.0,26.0,38.0,44.0,66.0,69.0,85.0,97.0,119.0,134.0,149.0,149.0,92.0,120.0,130.0,148.0,161.0,185.0,194.0,215.0,224.0,196.0,208.0,208.0
Agde Pezenas,41.0,26.0,0.0,12.0,18.0,40.0,44.0,60.0,71.0,93.0,108.0,123.0,123.0,74.0,96.0,106.0,150.0,138.0,177.0,168.0,189.0,199.0,170.0,182.0,182.0
Peage de Beziers-Cabrials,53.0,38.0,12.0,0.0,12.0,34.0,37.0,54.0,65.0,87.0,97.0,117.0,117.0,56.0,84.0,94.0,111.0,125.0,149.0,162.0,183.0,190.0,161.0,176.0,176.0
Beziers ouest,59.0,44.0,18.0,12.0,0.0,22.0,25.0,42.0,53.0,75.0,90.0,105.0,105.0,56.0,78.0,87.0,123.0,120.0,159.0,150.0,171.0,181.0,152.0,164.0,164.0
Narbonne est ,81.0,66.0,40.0,34.0,22.0,0.0,4.0,20.0,31.0,53.0,68.0,84.0,83.0,34.0,56.0,66.0,96.0,98.0,134.0,128.0,149.0,159.0,130.0,142.0,142.0
Narbonne sud,85.0,69.0,44.0,37.0,25.0,4.0,0.0,16.0,27.0,49.0,65.0,80.0,80.0,31.0,52.0,62.0,86.0,95.0,124.0,125.0,146.0,155.0,127.0,138.0,138.0
Sigean ,101.0,85.0,60.0,54.0,42.0,20.0,16.0,0.0,11.0,33.0,49.0,64.0,63.0,35.0,62.0,73.0,90.0,104.0,128.0,162.0,178.0,169.0,140.0,157.0,155.0
Leucate,112.0,97.0,71.0,65.0,53.0,31.0,27.0,11.0,0.0,22.0,38.0,53.0,52.0,46.0,73.0,84.0,101.0,115.0,139.0,191.0,189.0,180.0,151.0,168.0,166.0
Perpignan nord,134.0,119.0,93.0,87.0,75.0,53.0,49.0,33.0,22.0,0.0,15.0,31.0,30.0,68.0,96.0,106.0,123.0,137.0,161.0,180.0,201.0,202.0,173.0,191.0,188.0
Perpignan sud,149.0,134.0,108.0,97.0,90.0,68.0,65.0,49.0,38.0,15.0,0.0,18.0,18.0,83.0,111.0,121.0,139.0,152.0,176.0,186.0,207.0,217.0,188.0,200.0,200.0
Le Boulou  (peage sys ferme),164.0,149.0,123.0,117.0,105.0,84.0,80.0,64.0,53.0,31.0,18.0,0.0,0.0,99.0,126.0,136.0,154.0,168.0,192.0,227.0,242.0,232.0,203.0,221.0,218.0
Peage du Perthus,164.0,149.0,123.0,117.0,105.0,83.0,80.0,63.0,52.0,30.0,18.0,0.0,0.0,98.0,126.0,136.0,154.0,167.0,191.0,228.0,241.0,232.0,203.0,221.0,218.0
Lezignan,115.0,92.0,74.0,56.0,56.0,34.0,31.0,35.0,46.0,68.0,83.0,99.0,98.0,0.0,27.0,38.0,55.0,69.0,93.0,145.0,143.0,134.0,105.0,122.0,120.0
Carcassonne est,137.0,120.0,96.0,84.0,78.0,56.0,52.0,62.0,73.0,96.0,111.0,126.0,126.0,27.0,0.0,10.0,28.0,42.0,66.0,118.0,116.0,106.0,77.0,95.0,92.0
Carcassonne ouest,147.0,130.0,106.0,94.0,87.0,66.0,62.0,73.0,84.0,106.0,121.0,136.0,136.0,38.0,10.0,0.0,21.0,34.0,58.0,88.0,109.0,99.0,70.0,88.0,85.0
Bram,191.0,148.0,150.0,111.0,123.0,96.0,86.0,90.0,101.0,123.0,139.0,154.0,154.0,55.0,28.0,21.0,0.0,14.0,38.0,86.0,88.0,79.0,50.0,67.0,65.0
Castelnaudary,179.0,161.0,138.0,125.0,120.0,98.0,95.0,104.0,115.0,137.0,152.0,168.0,167.0,69.0,42.0,34.0,14.0,0.0,24.0,63.0,74.0,65.0,36.0,53.0,51.0
Villefranche-de-Lauragais,218.0,185.0,177.0,149.0,159.0,134.0,124.0,128.0,139.0,161.0,176.0,192.0,191.0,93.0,66.0,58.0,38.0,24.0,0.0,32.0,50.0,41.0,12.0,30.0,27.0
Nailloux,209.0,194.0,168.0,162.0,150.0,128.0,125.0,162.0,191.0,180.0,186.0,227.0,228.0,145.0,118.0,88.0,86.0,63.0,32.0,0.0,21.0,30.0,12.0,30.0,27.0
Mazeres-Saverdun,230.0,215.0,189.0,183.0,171.0,149.0,146.0,178.0,189.0,201.0,207.0,242.0,241.0,143.0,116.0,109.0,88.0,74.0,50.0,21.0,0.0,9.0,33.0,51.0,49.0
Peage de pamiers,240.0,224.0,199.0,190.0,181.0,159.0,155.0,169.0,180.0,202.0,217.0,232.0,232.0,134.0,106.0,99.0,79.0,65.0,41.0,30.0,9.0,0.0,43.0,56.0,56.0
Montgiscard,211.0,196.0,170.0,161.0,152.0,130.0,127.0,140.0,151.0,173.0,188.0,203.0,203.0,105.0,77.0,70.0,50.0,36.0,12.0,12.0,33.0,43.0,0.0,12.0,12.0
Peage de Toulouse sud/ouest,223.0,208.0,182.0,176.0,164.0,142.0,138.0,157.0,168.0,191.0,200.0,221.0,221.0,122.0,95.0,88.0,67.0,53.0,30.0,30.0,51.0,56.0,12.0,0.0,28.0
Peage de Toulouse sud/est,223.0,208.0,182.0,176.0,164.0,142.0,138.0,155.0,166.0,188.0,200.0,218.0,218.0,120.0,92.0,85.0,65.0,51.0,27.0,27.0,49.0,56.0,12.0,28.0,0.0
