,route,x,y, Nom gare 
0,A0009,3.832152851175532,43.56321197997596,MONTPELLIER
1,A0009,3.683459688948031,43.48122735717295,SETE                                    
2,A0009,3.415880824819294,43.37686025015687,AGDE
3,A0075,3.2851578291221855,43.345159568953356,BEZIERS CABRIALS (ENTReE)
4,A0009,3.2229492234270127,43.30366439969685,BEZIERS OUEST
5,A0009,3.034479741724844,43.17658759196941,NARBONNE EST
6,A0009,2.9938759616687687,43.16306781794761,NARBONNE SUD
7,A0009,2.952680247507517,43.03324744634108,SIGEAN
8,A0009,2.9698643577185457,42.93907971549383,LEUCATE
9,A0009,2.895039492321414,42.78280442962276,PERPIGNAN NORD                          
10,A0009,2.8613664204239813,42.6641690342507,PERPIGNAN SUD
11,A0009,2.8198963845755936,42.52525130045104,BOULOU (FERMe)
12,A0009,2.8213287503769697,42.52788008574573,LE PERTHUS-LE BOULOU
13,A0061,2.741912270324747,43.168895637589586,LEZIGNAN
14,A0061,2.419899809802155,43.1946064250563,CARCASSONNE EST
15,A0061,2.3034122460909554,43.194876489561864,CARCASSONNE OUEST
16,A0061,2.097387263014391,43.23639382092863,BRAM
17,A0061,1.9450172595926862,43.28841170379598,CASTELNAUDARY
18,A0061,1.6933276863029996,43.39605815569464,VILLEFRANCHE DE LAURAGAIS
19,A0066,1.6219986708071876,43.38569743065547,NAILLOUX
20,A0066,1.6411430845593658,43.23520465874421,MAZERES
21,A0066,1.6157244295701825,43.15416471824379,PAMIER
22,A0061,1.584556,43.461156,MONTGISCARD
23,A0061,1.5004295610995166,43.545815080076125,TOULOUSE SUD-OUEST (ENTREE)
24,A0061,1.5000987998641895,43.54589357000137,TOULOUSE SUD-EST (SORTIE )
